track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7FPbxfwWa2gzB9ePX19I5z,"Arijit Singh, Neeti Mohan",Boss,Har Kisi Ko,57,337046,False,0.553,0.705,3,-6.898,1,0.0308,0.478,0.0,0.278,0.324,95.007,4,"filmi, modern bollywood"
6pGhyosvAt0ke0XH3vfFAr,Jazzy B,Romeo,Dil Luteya,39,261760,False,0.812,0.786,2,-5.939,1,0.205,0.254,0.0,0.25,0.885,89.984,4,"classic bhangra, punjabi pop, bhangra"
6O1RAYwmOqkcoJQr7J9SFJ,"Manan Bhardwaj, Arijit Singh",Yaariyan 2,Oonchi Oonchi Deewarein,58,251109,False,0.263,0.616,5,-5.17,1,0.0398,0.533,0.0,0.086,0.298,78.353,4,"desi pop, filmi, modern bollywood"
6ZBPTNro2APVK8mDBc9L30,"Atif Aslam, Monali Thakur",Tu Mohabbat Hai (Valentine Special),"Tu Mohabbat Hai (From ""Tere Naal Love Ho Gaya"")",0,322757,False,0.637,0.669,10,-6.333,1,0.0361,0.355,6.22e-05,0.0963,0.523,118.967,4,"filmi, classic pakistani pop, sufi, modern bollywood"
4KSHc0ATBNg29sFqUmcfNq,"Jatin-Lalit, Babul Supriyo, Mahalakshmi Iyer, Master Akshay Bhagwat, Aamir Khan, Kajol, Prasoon Joshi",Fanaa,Chanda Chamke,46,228388,False,0.894,0.687,5,-8.651,1,0.119,0.366,0.0,0.111,0.645,113.992,4,"filmi, classic bollywood, afghan pop, modern bollywood, chutney"
4KCbZcshgibfJSCAkg87Lv,"Vishal-Shekhar, Rahat Fateh Ali Khan, Irshad Kamil",Sultan,Jag Ghoomeya,61,281991,False,0.484,0.565,11,-7.954,1,0.0347,0.479,2.13e-06,0.105,0.607,82.653,4,"filmi, classic pakistani pop, sufi, modern bollywood, qawwali"
1AbtTQRobhzp7QZc1aAY6o,Atif Aslam,Atif Hit Story,"Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",0,341933,False,0.702,0.86,7,-3.969,1,0.0346,0.36,1.33e-06,0.133,0.83,120.045,4,"filmi, classic pakistani pop, sufi, modern bollywood"
5AhxzlhZbKYfu4YNiUnmvx,"Sona Mohapatra, Ravindra Upadhyay",Talaash,Jiya Lage Na,48,276607,False,0.48,0.601,11,-5.879,1,0.0348,0.16,0.000491,0.131,0.22,169.997,4,"filmi, modern bollywood"
3zDclXNuaA2yd8SXBZ03VT,Mukesh,Mukesh Ki Barfi,Suhana Safar Aur Yeh Mausam,53,229506,False,0.491,0.308,7,-13.842,0,0.15,0.639,0.0121,0.139,0.614,150.612,3,"filmi, classic bollywood"
2Rr8j88wr7SAYSwuekTJgx,"Armaan Malik, Shraddha Kapoor",2016 Shining Star - Armaan Malik,"Sab Tera (From ""Baaghi"")",51,228116,False,0.502,0.641,7,-5.863,1,0.034,0.641,1.02e-06,0.151,0.431,159.781,4,"filmi, modern bollywood"
4ila6GeGBPGmJTGRoHOV5E,"Shreya Ghoshal, Osman Mir",Ram-Leela (Original Motion Picture Soundtrack),Nagada Sang Dhol,0,273319,False,0.73,0.944,3,-3.48,0,0.164,0.266,0.00443,0.0354,0.657,113.309,3,"gujarati garba, filmi, gujarati pop, modern bollywood"
5tllbwxYanPKmFs1g4EP9S,Lata Mangeshkar,Magical Lata,"Jadugar Saiyan Chhod Mori Baiyan - From ""Nagin""",0,173360,False,0.64,0.423,7,-11.507,1,0.0416,0.982,0.739,0.108,0.777,119.316,4,"lata, filmi, classic bollywood"
2I0MIQhICYnKHvaxUHYH49,"Amit Trivedi, Varun Grover, Shahid Mallya, Sireesha Bhagavatula, Swanand Kirkire",Qala (Music From The Netflix Film),Shauq,54,256284,False,0.411,0.244,7,-11.364,1,0.0349,0.868,2.54e-05,0.128,0.248,139.935,4,"filmi, modern bollywood"
6EYhB6w3JQQIrBZNMVjDyb,Armaan Malik,Amaal Mallik & Armaan Malik - Mtv Unplugged Season 7,Sab Tera Unplugged,33,282871,False,0.624,0.439,7,-11.537,1,0.0468,0.244,0.0,0.785,0.376,80.065,4,"filmi, modern bollywood"
4uDJ3ufQ5jp8ujYUC8wzHA,"Raamlaxman, Lata Mangeshkar",Maine Pyar Kiya,Dil Deewana - Female,0,354426,False,0.389,0.372,8,-12.354,1,0.041,0.788,0.00374,0.0903,0.614,80.517,4,"lata, filmi, classic bollywood"
6YEigVLKeRSOusYWwA8VNr,"Hemant Kumar, S. D. Burman",Jaal,Yeh Raat Yeh Chandni - Hemant Kumar,39,296240,False,0.441,0.303,2,-11.063,1,0.0341,0.95,0.0,0.0888,0.616,81.02,4,"filmi, rabindra sangeet, classic bollywood"
4nRCEUefTt4YvjQBzHgOmR,"Lata Mangeshkar, Mohammed Rafi",The Golden Collection - Duets Of Lata Mangeshkar & Mohd. Rafi,Jo Waada Kiya,0,196733,False,0.469,0.487,6,-8.826,1,0.0437,0.732,0.00474,0.444,0.641,155.959,4,"lata, filmi, classic bollywood"
3UySEf4STA8n0pIpvKXLQ7,Sunidhi Chauhan,Dhoom : 3 (Original Motion Picture Soundtrack),Kamli,0,234737,False,0.62,0.926,7,-5.896,0,0.0986,0.172,0.0,0.277,0.733,175.103,4,"filmi, modern bollywood"
2cYwZnsAzNuvSNYucLsAEm,"Jubin Nautiyal, Rohanpreet Singh, Rana Sotal",Aise Kaise,Aise Kaise,30,180570,False,0.735,0.546,7,-10.208,0,0.0454,0.741,0.04,0.11,0.316,110.997,4,"desi pop, filmi, hare krishna, modern bollywood, punjabi pop"
3WbmZDODopN9M7lDWd6uey,"Shankar-Ehsaan-Loy, Rashid Khan",My Name Is Khan (Original Motion Picture Soundtrack),Allah Hi Reham,0,241453,False,0.567,0.654,3,-7.797,1,0.0715,0.739,0.0,0.103,0.436,80.052,4,"filmi, hindustani vocal, khayal, indian classical, hindustani classical, modern bollywood"
3GrCQPpKqKzOcKfMAoqn82,"Tanishk Bagchi, Arijit Singh, Asees Kaur","Bolna (From ""Kapoor & Sons (Since 1921)"")","Bolna (From ""Kapoor & Sons (Since 1921)"")",65,212832,False,0.488,0.403,5,-7.005,1,0.0272,0.598,4.28e-06,0.434,0.497,131.489,3,"desi pop, filmi, modern bollywood"
78kjDP5Msi6neqS4aD2kVw,"Kishore Kumar, Lata Mangeshkar",The Best of Bollywood,"Hey Maine Kasam Li - From ""Tere Mere Sapne """,16,239840,False,0.585,0.602,1,-5.272,1,0.0325,0.786,0.0,0.172,0.868,140.828,4,"lata, filmi, classic bollywood"
73pGqYzwpDDDhd3FSF4gdR,Lata Mangeshkar,"The Golden Melodies, Vol. 1","Jaise Radha Ne Mala Japi - From ""Tere Mere Sapne""",24,238973,False,0.454,0.577,4,-7.779,1,0.102,0.595,5.68e-06,0.504,0.775,150.383,3,"lata, filmi, classic bollywood"
63BUJ86ko2ATtBjKHCx9pK,"Atif Aslam, Hadiqa Kiyani",With Love - Atif,"Hona Tha Pyar (From ""Bol"")",0,220310,False,0.689,0.542,4,-8.673,1,0.0308,0.571,0.0307,0.181,0.783,102.981,4,"filmi, classic pakistani pop, sufi, modern bollywood"
0CtZpaOhtzvLV3FfcsVpQo,"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Besharam Rang (From ""Pathaan"")","Besharam Rang (From ""Pathaan"")",68,258472,False,0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997,4,"filmi, modern bollywood"
46bHffIYlRKDZJG1Wbv8vi,"Mukesh, Lata Mangeshkar",Kabhi Kabhie,Kabhi Kabhi Mere Dil Mein Duet,53,298579,False,0.502,0.315,4,-10.438,1,0.0318,0.979,5.7e-05,0.626,0.397,110.618,4,"lata, filmi, classic bollywood"
5pcmtf1lwrMqmAWWm248fY,"AP Dhillon, Gurinder Gill",HIDDEN GEMS,DESIRES,58,168000,False,0.863,0.387,5,-10.057,0,0.256,0.365,0.00238,0.06,0.39,100.013,4,"punjabi hip hop, desi pop, desi hip hop, punjabi pop"
0OGWPZujUqgF5ER4iSg2Qp,"B Praak, Jaani",Shershaah (Original Motion Picture Soundtrack),Mann Bharryaa 2.0,50,266005,False,0.35,0.477,2,-4.933,1,0.0341,0.676,0.0,0.136,0.187,91.162,4,"filmi, punjabi pop, desi pop"
12oRKXTefs3rV31mE78AZu,"Shankar-Ehsaan-Loy, Diljit Dosanjh",Soorma Anthem,"Ishq Di Baajiyaan (From ""Soorma)",0,287134,False,0.72,0.609,7,-7.232,1,0.0465,0.0229,0.000294,0.111,0.8,154.975,4,"punjabi pop, filmi, modern bollywood"
6f3ANRNQ8nCiPZ6VqXqq93,"Amaal Mallik, Armaan Malik, Rashmi Virag",Main Rahoon Ya Na Rahoon,Main Rahoon Ya Na Rahoon,68,309457,False,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,3,"desi pop, filmi, modern bollywood"
